datetime,irr_256,irr_284,irr_304,irr_1175,irr_1216,irr_1335,irr_1405,MgII_Index,n_samples_irr_256,n_samples_irr_284,n_samples_irr_304,n_samples_irr_1175,n_samples_irr_1216,n_samples_irr_1335,n_samples_irr_1405,n_samples_MgII_Index
2024-08-11 12:00:00+00:00,0.00019910921111111112,0.00021870861111111112,0.0006735995111111111,0.00012419427222222222,0.01076046445,0.0003198146111111111,0.00019792023888888887,0.41056121877777774,180,180,180,180,180,180,180,180
2024-08-11 15:00:00+00:00,0.00019880429999999998,0.00021856602222222223,0.0006771096666666667,0.0001246361611111111,0.010809401144444444,0.00032215260555555554,0.00019813842777777777,0.4108402309444444,180,180,180,180,180,180,180,180
2024-08-11 18:00:00+00:00,0.0002006530280898876,0.00021855625280898876,0.0006777154775280898,0.0001251091797752809,0.010827326286516854,0.0003221986573033708,0.00019730082022471912,0.41055129488764047,178,178,178,178,178,178,178,178
2024-08-11 21:00:00+00:00,0.00020026442222222224,0.00021611426666666664,0.0006760868555555556,0.00012602007222222222,0.010834159416666666,0.0003215759833333333,0.00019833705555555553,0.4103213675,180,180,180,180,180,180,180,180
2024-08-12 00:00:00+00:00,0.00020031949444444444,0.00021661605,0.0006817569166666667,0.00012632945555555555,0.010863809555555555,0.00032287888333333337,0.00019970235,0.4099561012222222,180,180,180,180,180,180,180,180
2024-08-12 03:00:00+00:00,0.00020102660555555558,0.00021702328333333333,0.0006831243777777778,0.00012558722777777776,0.010880846977777778,0.0003226026277777778,0.00020025034444444447,0.41000030361111117,180,180,180,180,180,180,180,180
2024-08-12 06:00:00+00:00,0.00020028665555555555,0.00021500087777777776,0.0006787521722222222,0.00012540283333333335,0.0107187418,0.00032140351666666664,0.0001999192111111111,0.4093846467777778,180,180,180,180,180,180,180,180
2024-08-12 09:00:00+00:00,0.0001991006388888889,0.0002167469888888889,0.0006783531277777778,0.0001251680888888889,0.010652496772222223,0.0003210076111111111,0.00019995503888888891,0.40914610116666666,180,180,180,180,180,180,180,180
2024-08-12 12:00:00+00:00,0.00020019017222222223,0.00022077037777777777,0.0006756763833333333,0.00012497851666666668,0.01074068241111111,0.0003197020888888889,0.0002004417611111111,0.4083007023333333,180,180,180,180,180,180,180,180
2024-08-12 15:00:00+00:00,0.00019742589444444444,0.0002172057388888889,0.00067107145,0.00012436287222222222,0.010740266227777778,0.00031871566666666665,0.00019792662222222222,0.4077884686111111,180,180,180,180,180,180,180,180
2024-08-12 18:00:00+00:00,0.00019550174719101124,0.00021719002247191013,0.0006755237303370786,0.00012656374157303372,0.010759900719101123,0.00032107330898876405,0.0001994953370786517,0.40765726376404493,178,178,178,178,178,178,178,178
2024-08-12 21:00:00+00:00,0.00019644042222222223,0.00021805651666666667,0.0006742759222222222,0.00012578760555555555,0.010749495477777779,0.00031873728888888887,0.0001951349111111111,0.4063100331666667,180,180,180,180,180,180,180,180
2024-08-13 00:00:00+00:00,0.0001961881388888889,0.0002151702722222222,0.00066895775,0.00012464417222222222,0.010716844044444444,0.0003163706277777778,0.00019357708333333335,0.4052438757222222,180,180,180,180,180,180,180,180
2024-08-13 03:00:00+00:00,0.00019393625555555558,0.00021484848888888886,0.0006693823222222223,0.00012512927777777778,0.010695483727777778,0.00031742278333333335,0.00019375048333333334,0.40470133838888894,180,180,180,180,180,180,180,180
2024-08-13 06:00:00+00:00,0.0001946884777777778,0.0002188449,0.0006715994777777778,0.0001251964,0.010581312322222222,0.00031617822222222225,0.0001931388277777778,0.40409731861111114,180,180,180,180,180,180,180,180
