datetime,E_J2_mean,n_samples,dEdt_Jkg_per_day,dadt_m_per_day,se_E_Jkg,se_dEdt_Jkg_per_day
2024-08-12 18:00:00+00:00,-29021736.253782764,15,-315.92107766866684,-74.71042958857798,120.09189809791118,714.5924033988224
2024-08-12 21:00:00+00:00,-29021545.434456054,18,-289.3482911735773,-68.40044864977772,97.93871151273383,578.3041616858482
2024-08-13 00:00:00+00:00,-29021808.590855557,18,-3321.339038193226,-785.1148621087269,80.49948742190314,744.6482339068036
2024-08-13 03:00:00+00:00,-29022375.769215602,18,-2614.4832974225283,-618.0824635611373,158.31715258779795,502.8122205802876
2024-08-13 06:00:00+00:00,-29022462.211679913,15,-118.4773644655943,-28.00810836223301,96.54579533887453,816.4528368699152
2024-08-13 09:00:00+00:00,-29022405.38855672,15,-383.6844758540392,-90.69133598763985,128.8327651397353,600.2255502804128
2024-08-13 12:00:00+00:00,-29022558.132798877,18,-1622.4421821385622,-383.5263041948357,114.87309890907085,721.2341445124765
2024-08-13 15:00:00+00:00,-29022810.999102253,18,-1154.1255345344543,-272.79586963974697,126.14787682365112,667.1520140105252
2024-08-13 18:00:00+00:00,-29022846.66418251,11,-50.155516445636756,-11.859230362344414,120.92315435606442,623.8390724851861
2024-08-13 21:00:00+00:00,-29022823.537981365,18,-670.5839808136225,-158.54127833417468,91.70693782551852,605.7322320337169
2024-08-14 00:00:00+00:00,-29023014.310177714,18,-2126.7541996836662,-502.8160182389926,91.15679787247741,597.1117541049842
2024-08-14 03:00:00+00:00,-29023355.226531286,18,-1036.6192348897457,-245.04307752569827,117.78684343046203,584.8788551235599
2024-08-14 06:00:00+00:00,-29023273.464986436,16,-359.1114182174206,-84.8601858803954,114.32691240386791,724.4957096646933
2024-08-14 09:00:00+00:00,-29023445.00438584,15,-961.9236986339092,-227.31168182909684,137.59410088134976,603.7807388232991
2024-08-14 12:00:00+00:00,-29023513.945911095,18,-2080.296457260847,-491.78664054021624,98.55864186398813,747.2645066689942
2024-08-14 15:00:00+00:00,-29023965.078500155,18,-1077.3918670415878,-254.70809621326813,126.36506077870737,544.5330540495333
2024-08-14 18:00:00+00:00,-29023783.293877855,15,1315.7632706165314,311.1238898283384,93.90665337694728,614.6178464416905
2024-08-14 21:00:00+00:00,-29023636.1376825,18,-887.4317036867142,-209.75307944317237,87.41604536458071,538.163761305197
2024-08-15 00:00:00+00:00,-29024005.151803777,18,-2621.4086042791605,-619.5703463859691,96.34731483246793,576.4834429189306
2024-08-15 03:00:00+00:00,-29024291.48983357,18,-1281.3051969558,-302.8717660142466,114.58297216557338,584.6264842299487
2024-08-15 06:00:00+00:00,-29024325.478103016,18,-229.24883349239826,-54.19557544433572,109.90428928624766,615.1246461786246
2024-08-15 09:00:00+00:00,-29024348.802041944,16,-336.23063296079636,-79.46844226758397,102.56406844371506,643.5960539375696
2024-08-15 12:00:00+00:00,-29024409.535761256,18,-998.6802138090134,-236.0445461596417,117.5139980459157,604.3706472896789
2024-08-15 15:00:00+00:00,-29024598.472095396,18,-1406.1199493706229,-332.31767949745955,110.94865623727502,785.7261074983509
2024-08-15 18:00:00+00:00,-29024761.0657486,13,-139.37237238883972,-32.95065755768583,157.4033195760064,612.9984571440431
2024-08-15 21:00:00+00:00,-29024633.315188494,18,-252.4139880090952,-59.669190360595216,105.71584534947468,730.0320019217172
2024-08-16 00:00:00+00:00,-29024824.1692456,18,-2092.439482539892,-494.63983417539754,92.37621569331569,658.3864715913306
2024-08-16 03:00:00+00:00,-29025156.42505913,18,-1376.4880842268465,-325.34175343303724,126.1594493704339,504.3995303947168
