date,satellite,old_proxy_ddeltahdt_m_per_day,rho_mean,alt_mean_km,n_samples_density
2024-07-14 00:00:00+00:00,Swarm_A,-0.030005441624920276,1.406250141767361e-12,479.2327807746528,2880
2024-07-15 00:00:00+00:00,Swarm_A,-6.867690052011688,1.4116272162569446e-12,479.29808063506954,2880
2024-07-16 00:00:00+00:00,Swarm_A,13.25352959264182,1.711726067423611e-12,479.028098,2880
2024-07-17 00:00:00+00:00,Swarm_A,32.66500794573494,1.7059959287986114e-12,478.9754312972222,2880
2024-07-18 00:00:00+00:00,Swarm_A,31.557143902880128,1.6215462845486113e-12,479.1569705517361,2880
2024-07-19 00:00:00+00:00,Swarm_A,3.1074892079426957,1.6434996456770832e-12,478.80599032847215,2880
2024-07-20 00:00:00+00:00,Swarm_A,35.94696299624088,1.6538746351284721e-12,478.73226353819445,2880
2024-07-21 00:00:00+00:00,Swarm_A,9.52686639163655,1.5352691342604169e-12,478.9949539111111,2880
2024-07-22 00:00:00+00:00,Swarm_A,20.990061412143323,1.7151513459618054e-12,478.58910611145836,2880
2024-07-23 00:00:00+00:00,Swarm_A,28.543186269584048,1.367244950326389e-12,478.5218375326389,2880
2024-07-24 00:00:00+00:00,Swarm_A,-22.977378501013863,1.2732604341770832e-12,478.8223508652778,2880
2024-07-25 00:00:00+00:00,Swarm_A,-6.044790284897767,1.1993725367048613e-12,478.41114268854164,2880
2024-07-26 00:00:00+00:00,Swarm_A,-11.164883828064381,1.5007447210729166e-12,478.363415909375,2880
2024-07-27 00:00:00+00:00,Swarm_A,-18.9706169216005,1.2672702959305556e-12,478.6494164715278,2880
2024-07-28 00:00:00+00:00,Swarm_A,-24.796142436287056,1.1513989691770834e-12,478.2546075444445,2880
2024-07-29 00:00:00+00:00,Swarm_A,-10.098501159865616,1.1678054585868057e-12,478.2161952875,2880
2024-07-30 00:00:00+00:00,Swarm_A,-6.206578486043695,1.4179923777951389e-12,478.46807060104175,2880
2024-07-31 00:00:00+00:00,Swarm_A,-10.04917823553339,1.30242520684375e-12,478.1208243427084,2880
2024-08-01 00:00:00+00:00,Swarm_A,-300.33726670180977,1.5564301822673612e-12,478.05410500277776,2880
2024-08-02 00:00:00+00:00,Swarm_A,-49.58635884044224,1.3846623865694445e-12,478.24280491493056,2880
2024-08-03 00:00:00+00:00,Swarm_A,-49.833446193986276,1.4605822230104169e-12,477.9789455371528,2880
2024-08-04 00:00:00+00:00,Swarm_A,-23.547487608426398,1.92876887040625e-12,477.8750069340278,2880
2024-08-05 00:00:00+00:00,Swarm_A,-19.486541506977485,1.5553151190381944e-12,477.9816025951389,2880
2024-08-06 00:00:00+00:00,Swarm_A,-51.35281896217842,1.4080547612256945e-12,477.8155677371528,2880
2024-08-07 00:00:00+00:00,Swarm_A,-20.336834434829086,1.5666393153298609e-12,477.6838339739583,2880
2024-08-08 00:00:00+00:00,Swarm_A,-14.949975637480073,1.806580962607639e-12,477.7343955399306,2880
2024-08-09 00:00:00+00:00,Swarm_A,-13.817163278953215,1.9318074033333336e-12,477.64872821145843,2880
2024-08-10 00:00:00+00:00,Swarm_A,50.85475461519123,2.2630027633402777e-12,477.4470808256945,2880
2024-08-11 00:00:00+00:00,Swarm_A,45.53422771028698,2.6619527133506946e-12,477.4183018815972,2880
2024-08-12 00:00:00+00:00,Swarm_A,135.75916511031093,3.632445349618056e-12,477.36910856423606,2880
2024-08-13 00:00:00+00:00,Swarm_A,167.0877253125198,2.5315968632291666e-12,477.06819173298607,2880
2024-08-14 00:00:00+00:00,Swarm_A,16.744298121179682,2.1657744862777778e-12,477.0177759972222,2880
2024-08-15 00:00:00+00:00,Swarm_A,29.10674563534831,1.9555116530937498e-12,477.0912341420139,2880
2024-08-16 00:00:00+00:00,Swarm_A,27.2460754263406,2.1261137172256944e-12,476.792986578125,2880
2024-08-17 00:00:00+00:00,Swarm_A,5.857549204309637,2.0493042570381945e-12,476.7321555680556,2880
2024-08-18 00:00:00+00:00,Swarm_A,46.11984615821791,2.1128536653819444e-12,476.8652524743055,2880
2024-08-19 00:00:00+00:00,Swarm_A,9.938149979100377,1.850613379861111e-12,476.5285480013889,2880
2024-08-20 00:00:00+00:00,Swarm_A,18.903607873588538,1.9329760875347225e-12,476.4540678954861,2880
2024-08-21 00:00:00+00:00,Swarm_A,4.558306908441945,1.7179889890694446e-12,476.65319405729167,2880
2024-08-22 00:00:00+00:00,Swarm_A,-27.54785810216325,1.693563426420139e-12,476.2959313677083,2880
2024-08-23 00:00:00+00:00,Swarm_A,-13.207897226709724,1.5343282647361113e-12,476.22105529548605,2880
2024-08-24 00:00:00+00:00,Swarm_A,-16.54381821070671,1.6225975135590276e-12,476.4655713923611,2880
2024-08-25 00:00:00+00:00,Swarm_A,-32.01148820101449,1.462985246420139e-12,476.0939128246528,2880
2024-08-26 00:00:00+00:00,Swarm_A,-29.613686962186154,1.494409170951389e-12,476.0168125201389,2880
2024-08-27 00:00:00+00:00,Swarm_A,-29.868783676833313,1.5681849624930557e-12,476.2895177746528,2880
2024-08-28 00:00:00+00:00,Swarm_A,37.80397753549126,2.127607868368056e-12,475.8838734430556,2880
2024-08-29 00:00:00+00:00,Swarm_A,29.007787746195355,1.6798428253958332e-12,475.7867496694445,2880
2024-08-30 00:00:00+00:00,Swarm_A,-23.066153860367734,1.902716420434028e-12,476.06908636562497,2880
2024-08-31 00:00:00+00:00,Swarm_A,73.22835349944204,2.1311428325694443e-12,475.63640865729167,2880
2024-10-02 00:00:00+00:00,Swarm_A,55.79178067869517,2.4607613354166665e-12,473.2827022815973,2880
2024-10-03 00:00:00+00:00,Swarm_A,118.99893463154032,2.636512473958333e-12,472.9107589729167,2880
2024-10-04 00:00:00+00:00,Swarm_A,172.86765713502916,2.8040219027430548e-12,472.87855969548616,2880
2024-10-05 00:00:00+00:00,Swarm_A,102.57172848267871,2.709340346423611e-12,472.903250003125,2880
2024-10-06 00:00:00+00:00,Swarm_A,119.42074455053641,2.675848326597222e-12,472.5666064711806,2880
2024-10-07 00:00:00+00:00,Swarm_A,171.48212035497014,3.1478420141319445e-12,472.56444099097223,2880
2024-10-08 00:00:00+00:00,Swarm_A,202.0268654341696,3.100071434236111e-12,472.48228110868047,2880
2024-10-09 00:00:00+00:00,Swarm_A,99.42941133711669,2.3518398159131945e-12,472.1913162375,2880
2024-10-10 00:00:00+00:00,Swarm_A,56.542663340809625,2.666339014263889e-12,472.2684672715278,2880
2024-10-11 00:00:00+00:00,Swarm_A,274.6821514509037,3.48161747728125e-12,472.0700073350695,2880
2024-10-12 00:00:00+00:00,Swarm_A,43.42010911836318,1.7769966613993056e-12,471.8412380045139,2880
2024-10-13 00:00:00+00:00,Swarm_A,-20.425457735557636,1.669911612545139e-12,471.9974923385417,2880
2024-10-14 00:00:00+00:00,Swarm_A,-25.539296371721516,1.7307082668958333e-12,471.7763761013889,2880
2024-10-15 00:00:00+00:00,Swarm_A,-33.076475678881316,1.9650344479652778e-12,471.6090038,2880
2024-10-16 00:00:00+00:00,Swarm_A,11.961048190398397,2.001168968055556e-12,471.7786110097222,2880
2024-10-17 00:00:00+00:00,Swarm_A,-2.5609999205200866,1.9270934616909725e-12,471.4423840451389,2880
2024-10-18 00:00:00+00:00,Swarm_A,-20.597866940008842,2.0036844536666666e-12,471.3191497711806,2880
2024-10-19 00:00:00+00:00,Swarm_A,23.321087537996902,2.1519110063194442e-12,471.57291242916665,2880
2024-10-20 00:00:00+00:00,Swarm_A,25.82527123949059,1.9002198149652778e-12,471.15284965763885,2880
2024-10-21 00:00:00+00:00,Swarm_A,-43.06088994663065,1.843072140107639e-12,471.0640605895833,2880
2024-10-22 00:00:00+00:00,Swarm_A,-5.355266523061197,2.1780143978993054e-12,471.3591802875,2880
2024-10-23 00:00:00+00:00,Swarm_A,36.65311673045578,2.213792199548611e-12,470.88054572638885,2880
2024-10-24 00:00:00+00:00,Swarm_A,29.09145331674421,2.3176291881944444e-12,470.79528794444445,2880
2024-10-25 00:00:00+00:00,Swarm_A,44.29454031439053,2.2152419506006944e-12,471.0793898482639,2880
2024-10-26 00:00:00+00:00,Swarm_A,30.698961626967474,2.700895891805556e-12,470.5890067506944,2880
2024-10-29 00:00:00+00:00,Swarm_A,161.5471982853265,3.0596444261805558e-12,470.21300937986103,2880
2024-10-30 00:00:00+00:00,Swarm_A,162.06557598817085,3.206145546631945e-12,470.1413256663194,2880
2024-10-31 00:00:00+00:00,Swarm_A,141.13228490495032,3.219999404444445e-12,470.2312159201389,2880
2024-11-01 00:00:00+00:00,Swarm_A,-2547.0711226888598,3.3474842273611117e-12,469.8172595996528,2880
2024-11-02 00:00:00+00:00,Swarm_A,131.4063850654652,3.4818827983333334e-12,469.79772598402786,2880
2024-11-03 00:00:00+00:00,Swarm_A,246.61346422107044,3.4273564989583333e-12,469.70845091180564,2880
2024-11-04 00:00:00+00:00,Swarm_A,148.6322616017657,3.2762191512152776e-12,469.39195734618056,2880
2024-11-05 00:00:00+00:00,Swarm_A,131.4000094484089,3.078964162118056e-12,469.4691535430556,2880
2024-11-06 00:00:00+00:00,Swarm_A,173.1316554920852,3.212563303125e-12,469.20448056145835,2880
2024-11-07 00:00:00+00:00,Swarm_A,93.28908273930669,2.8814692038541667e-12,468.9904726982639,2880
2024-11-08 00:00:00+00:00,Swarm_A,173.15598305196102,2.8816995617708333e-12,469.1806159184028,2880
2024-11-09 00:00:00+00:00,Swarm_A,240.4845765278187,3.5470994485416666e-12,468.7461985684028,2880
2024-11-10 00:00:00+00:00,Swarm_A,205.95399184205627,2.9265837927430552e-12,468.5842775659722,2880
2024-11-11 00:00:00+00:00,Swarm_A,113.30203987207658,2.3688457353854165e-12,468.8512500045139,2880
2024-11-12 00:00:00+00:00,Swarm_A,18.029456765511007,2.065121425142361e-12,468.3746238621528,2880
2024-11-13 00:00:00+00:00,Swarm_A,-25.41223321257744,1.9504194535729168e-12,468.30439840104157,2880
2024-11-14 00:00:00+00:00,Swarm_A,-14.001553367513957,1.9724234171354165e-12,468.5812512770833,2880
2024-11-15 00:00:00+00:00,Swarm_A,-11.035953375156277,2.0532739770243057e-12,468.131584221875,2880
2024-11-16 00:00:00+00:00,Swarm_A,-25.69872135535738,1.7464980891597225e-12,468.11732366076393,2880
2024-11-17 00:00:00+00:00,Swarm_A,-54.773261725384025,1.5594859578854166e-12,468.26133606666656,2880
2024-11-18 00:00:00+00:00,Swarm_A,-50.87006575660523,1.6468873866145833e-12,467.9327455427084,2880
2024-11-19 00:00:00+00:00,Swarm_A,-66.25963637189614,1.886834298888889e-12,468.0241534930556,2880
2024-11-20 00:00:00+00:00,Swarm_A,-8.945186928542626,1.9986219162569438e-12,467.9159214291667,2880
2024-11-21 00:00:00+00:00,Swarm_A,-15.369422415837164,1.9517074763472225e-12,467.69597731805555,2880
