timestamp,old_gps_average_altitude,old_tle_average_altitude,old_altitude_diff,center_time,n_raw,gps_a_msl_raw,gps_b_ellipsoidal_h_ell,gps_c_r_minus_R0_geoid_corrected,gps_cprime_r_minus_R0_asused,tle_i_r_minus_R0_asused,tle_ii_geodetic_height_correct,D2_gps_cprime,D2_tle_i,D_common_gps_cprime,D_common_tle_i,alpha_binned,delta_h_old_binned,delta_h_degeoided_binned,beta_binned,gamma_binned
2024-07-09 19:13:45.333332992+00:00,496.9981293874136,497.0317689842523,0.0336395968387819,2024-07-09 19:01:05+00:00,15.0,504.61518484452927,504.591818072067,496.9849910366089,497.0083577545982,497.02625396150273,504.63292667373884,496.57548439517706,496.58737215120595,497.0083577545982,497.02625396150273,-0.023366717989290464,0.017896206904538303,0.04126292489382877,0.006008450875640392,0.0
2024-07-09 22:35:34.937500160+00:00,496.5664766855732,496.7038556759399,0.137378990366642,2024-07-09 22:23:42+00:00,16.0,506.1885410236112,506.198773383942,496.5723646340456,496.56213223256464,496.6998483762944,506.33236170242657,496.42446029363487,496.5625295699506,496.56213223256464,496.6998483762944,0.010232401480948283,0.13771614372979002,0.12748374224884174,-0.00035313258592850616,0.0
2024-07-10 01:32:29.263158272+00:00,496.4384209975736,496.5597501179264,0.1213291203527546,2024-07-10 01:17:28+00:00,18.0,507.1807281793701,507.19307337610456,496.39804604984243,496.38570087695405,496.5085236172234,507.3046781692359,496.42558730204826,496.5489356214593,496.38570087695405,496.5085236172234,0.012345172888387879,0.12282274026932782,0.11047756738093994,-0.0005255791417084765,0.0
2024-07-10 04:42:31.210526208+00:00,496.5164581367051,496.541744016537,0.0252858798318698,2024-07-10 04:22:30+00:00,19.0,507.0628532462408,507.047082695499,496.51728532279645,496.53305584115776,496.53051211564417,507.0584009397707,496.5336065049057,496.5309074129258,496.53305584115776,496.53051211564417,-0.015770518361307495,-0.002543725513589834,0.013226792847717661,0.00015536646634473072,0.0
2024-07-10 07:27:09.769230848+00:00,496.4212473926457,496.4762539196958,0.0550065270501249,2024-07-10 07:07:32+00:00,14.0,505.6183359001757,505.61002502645823,496.4685965974505,496.4787566107905,496.51685478482005,505.65632546325315,496.48253325172186,496.5205023568918,496.4787566107905,496.51685478482005,-0.010160013339998386,0.03809817402952831,0.048258187369526695,0.00012906885956454062,0.0
2024-07-10 11:19:42.928571136+00:00,496.4751203033051,496.5945768690259,0.1194565657207817,,,,,,,,,,,,,,,,,
2024-07-10 14:12:36.947368704+00:00,496.42479857902765,496.4879621137021,0.0631635346744587,2024-07-10 13:52:36+00:00,19.0,506.893548782659,506.9018316190445,496.3890718441903,496.38078902894756,496.48109977911946,506.9944554717632,496.3785522171881,496.4788325141203,496.38078902894756,496.48109977911946,0.008282815242750985,0.10031075017190005,0.09202793492914907,3.045323967398872e-05,0.0
2024-07-10 17:15:08.750000128+00:00,496.59511975881935,496.58807285232575,-0.0070469064935991,2024-07-10 16:58:31+00:00,17.0,505.98330880869344,505.962808899085,496.6299179030493,496.65041779977815,496.64320474583917,505.97478819703804,496.4663679634855,496.4636066724668,496.65041779977815,496.64320474583917,-0.02049989672883612,-0.007213053938983194,0.013286842789852926,-0.004451762920325564,0.0
2024-07-10 20:21:33.944444416+00:00,496.51369729517626,496.5533521936837,0.0396548985074218,2024-07-10 20:11:00+00:00,18.0,506.3559419235497,506.35208906516533,496.4998946729498,496.50374753871694,496.5467683787182,506.3971974250297,496.4025292171064,496.4444683681059,496.50374753871694,496.5467683787182,-0.0038528657671577093,0.04302084000124751,0.046873705768405216,0.001081689001750874,0.0
2024-07-10 23:32:42.631578880+00:00,496.3390190044333,496.4381360332008,0.0991170287674094,2024-07-10 23:22:42+00:00,19.0,506.8150613823517,506.8297873408621,496.33657774513085,496.32185182668945,496.43262353568434,506.92579013771854,496.31622038044867,496.4269050855617,496.32185182668945,496.43262353568434,0.014725918441399699,0.1107717089948892,0.0960457905534895,8.70038818447938e-05,0.0
2024-07-11 02:42:44.526315520+00:00,496.3641283348223,496.4204905628601,0.0563622280378126,2024-07-11 02:32:44+00:00,19.0,506.84850885461213,506.8492425540198,496.36007025568335,496.35933654907205,496.4158828371315,506.9062441043109,496.35311531115275,496.4096264399416,496.35933654907205,496.4158828371315,0.0007337066112995672,0.056546288059450944,0.05581258144815138,3.515927062380797e-05,0.0
2024-07-11 05:52:46.473683968+00:00,496.4171079532613,496.4030299036294,-0.0140780496319052,2024-07-11 05:42:46+00:00,19.0,506.9110037772634,506.8944120210508,496.40915746975065,496.425749187659,496.39934135333027,506.88559514621585,496.4187869635892,496.39236662565816,496.425749187659,496.39934135333027,-0.016591717908340797,-0.0264078343287224,-0.009816116420381604,1.2503602306424e-05,0.0
2024-07-11 09:05:28.400000256+00:00,495.7562377466533,495.8722352126708,0.1159974660174611,2024-07-11 08:46:22+00:00,14.0,509.67370441375465,509.6742416760163,495.74667278243095,495.7461355481187,495.86097748749125,509.79496809869937,496.2566150582947,496.3722603793359,495.7461355481187,495.86097748749125,0.0005372343122758139,0.11484193937258169,0.11430470506030588,-0.0008033816686179307,0.0
