datetime,panel,E_J2_Jkg,roll_median_Jkg,threshold_lo_Jkg,threshold_hi_Jkg,removed
2024-05-10 10:37:43+00:00,gannon,-28965550.545074534,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 10:47:43+00:00,gannon,-28966573.32163878,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 10:57:43+00:00,gannon,-28966328.62864124,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 11:07:43+00:00,gannon,-28966094.46188915,-28966094.46188915,-28969034.095566753,-28963154.82821155,False
2024-05-10 11:17:44+00:00,gannon,-28966005.862055343,-28966094.46188915,-28969034.095566753,-28963154.82821155,False
2024-05-10 11:27:44+00:00,gannon,-28965495.374228217,-28966177.91130917,-28969117.544986773,-28963238.27763157,False
2024-05-10 11:37:44+00:00,gannon,-28965612.026745368,-28966094.46188915,-28969034.095566753,-28963154.82821155,False
2024-05-10 11:47:44+00:00,gannon,-28966335.530071534,-28966094.46188915,-28969034.095566753,-28963154.82821155,False
2024-05-10 11:57:44+00:00,gannon,-28966541.630964696,-28966047.578991577,-28968987.21266918,-28963107.945313975,False
2024-05-10 12:07:44+00:00,gannon,-28965862.79152444,-28966005.862055343,-28968945.495732944,-28963066.22837774,False
2024-05-10 12:17:44+00:00,gannon,-28966177.91130917,-28966005.862055343,-28968945.495732944,-28963066.22837774,False
2024-05-10 12:27:44+00:00,gannon,-28966377.28958197,-28966047.578991577,-28968987.21266918,-28963107.945313975,False
2024-05-10 12:37:44+00:00,gannon,-28966047.578991577,-28966047.578991577,-28968987.21266918,-28963107.945313975,False
2024-05-10 12:47:45+00:00,gannon,-28965792.895765457,-28966047.578991577,-28968987.21266918,-28963107.945313975,False
2024-05-10 12:57:45+00:00,gannon,-28965738.33609596,-28966047.578991577,-28968987.21266918,-28963107.945313975,False
2024-05-10 13:07:45+00:00,gannon,-28965202.60569598,-28966022.61234547,-28968962.24602307,-28963082.978667866,False
2024-05-10 13:17:45+00:00,gannon,-28966089.241962448,-28966047.578991577,-28968987.21266918,-28963107.945313975,False
2024-05-10 13:27:45+00:00,gannon,-28966297.969461445,-28966022.61234547,-28968962.24602307,-28963082.978667866,False
2024-05-10 13:37:45+00:00,gannon,-28965985.057755545,-28965998.27851471,-28968937.91219231,-28963058.644837108,False
2024-05-10 13:47:45+00:00,gannon,-28966022.61234547,-28965998.27851471,-28968937.91219231,-28963058.644837108,False
2024-05-10 13:57:45+00:00,gannon,-28966580.159705464,-28966022.61234547,-28968962.24602307,-28963082.978667866,False
2024-05-10 14:07:45+00:00,gannon,-28965998.27851471,-28966057.359802213,-28968996.993479814,-28963117.72612461,False
2024-05-10 14:17:45+00:00,gannon,-28966057.359802213,-28966089.241962448,-28969028.87564005,-28963149.608284846,False
2024-05-10 14:27:46+00:00,gannon,-28965841.33394774,-28966152.773839142,-28969092.407516744,-28963213.14016154,False
2024-05-10 14:37:46+00:00,gannon,-28965532.531601988,-28966152.773839142,-28969092.407516744,-28963213.14016154,False
2024-05-10 14:47:46+00:00,gannon,-28966331.44222073,-28966226.941780824,-28969166.575458426,-28963287.308103222,False
2024-05-10 14:57:46+00:00,gannon,-28966783.77564259,-28966331.44222073,-28969271.07589833,-28963391.808543127,False
2024-05-10 15:07:46+00:00,gannon,-28966649.18580989,-28966226.941780824,-28969166.575458426,-28963287.308103222,False
2024-05-10 15:17:46+00:00,gannon,-28966152.773839142,-28966226.941780824,-28969166.575458426,-28963287.308103222,False
2024-05-10 15:27:46+00:00,gannon,-28966226.941780824,-28966331.44222073,-28969271.07589833,-28963391.808543127,False
2024-05-10 15:37:46+00:00,gannon,-28966999.1045115,-28966472.17892551,-28969411.812603112,-28963532.54524791,False
2024-05-10 15:47:46+00:00,gannon,-28966496.47744923,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 15:57:46+00:00,gannon,-28966472.17892551,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 16:07:47+00:00,gannon,-28965728.820361294,-28966472.17892551,-28969411.812603112,-28963532.54524791,False
2024-05-10 16:17:47+00:00,gannon,-28965931.99493021,-28966472.17892551,-28969411.812603112,-28963532.54524791,False
2024-05-10 16:27:47+00:00,gannon,-28966488.377686527,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 16:37:47+00:00,gannon,-28967158.719878715,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 16:47:47+00:00,gannon,-28966523.333944865,-28966472.17892551,-28969411.812603112,-28963532.54524791,False
2024-05-10 16:57:47+00:00,gannon,-28966091.334975056,-28966472.17892551,-28969411.812603112,-28963532.54524791,False
2024-05-10 17:07:47+00:00,gannon,-28966238.09451177,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 17:17:47+00:00,gannon,-28966813.68239275,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 17:27:47+00:00,gannon,-28966990.63435741,-28966488.377686527,-28969428.01136413,-28963548.744008925,False
2024-05-10 17:47:48+00:00,gannon,-28965469.803620186,-28966523.333944865,-28969462.967622466,-28963583.700267263,False
