wavelength,lag_hours,spearman_r,n
irr_304,69,0.08928402869783808,1675
irr_304,72,0.08976155054892863,1673
irr_304,75,0.09075544632004234,1671
irr_304,78,0.08444206887336145,1669
irr_304,81,0.0743329539762805,1667
irr_304,84,0.06286726951031064,1666
irr_304,87,0.0535888055846039,1665
irr_304,90,0.045187059660150464,1664
irr_304,93,0.03618106403734787,1664
irr_304,96,0.026832795143077768,1664
irr_304,99,0.016263279214271398,1664
irr_304,102,0.008727235260608684,1664
irr_304,105,0.0057023085924168306,1664
irr_304,108,0.0036462832576783268,1664
irr_304,111,0.00619456997980951,1663
irr_304,114,0.008642891987339179,1661
irr_304,117,0.002649857605481969,1659
irr_304,120,-0.011957558591495858,1657
irr_1175,0,0.01662262544490677,1694
irr_1175,3,-9.260847837259298e-05,1693
irr_1175,6,-0.008478813289725644,1692
irr_1175,9,-0.011701841022370136,1691
irr_1175,12,-0.01969087554066872,1690
irr_1175,15,-0.034155888590849476,1689
irr_1175,18,-0.05042793327198087,1688
irr_1175,21,-0.060411721328609835,1687
irr_1175,24,-0.058923876001502534,1686
irr_1175,27,-0.05291088564333845,1685
irr_1175,30,-0.04650724485220729,1684
irr_1175,33,-0.03999175676048571,1683
irr_1175,36,-0.02842985577456399,1682
irr_1175,39,-0.012868021948561886,1681
irr_1175,42,-0.0008678508703310299,1680
irr_1175,45,0.010840508147084297,1679
irr_1175,48,0.019836202903891754,1679
irr_1175,51,0.025898692769031045,1679
irr_1175,54,0.031194852793905378,1679
irr_1175,57,0.04155040373634221,1679
irr_1175,60,0.05215534197289115,1679
irr_1175,63,0.058287425040305194,1678
irr_1175,66,0.06653269345126454,1677
irr_1175,69,0.07006158929988852,1675
irr_1175,72,0.06544401736948496,1673
irr_1175,75,0.06353299174202769,1671
irr_1175,78,0.05608637460822413,1669
irr_1175,81,0.0417110123019313,1667
irr_1175,84,0.024561627371485567,1666
irr_1175,87,0.013105522874430437,1665
irr_1175,90,0.0032176609747265193,1664
irr_1175,93,-0.0010791959566764137,1664
irr_1175,96,0.0014454044219528285,1664
irr_1175,99,0.0037419406894752655,1664
irr_1175,102,0.005178031482150544,1664
irr_1175,105,0.015762419005804457,1664
irr_1175,108,0.028885127321687756,1664
irr_1175,111,0.0422728278733625,1663
irr_1175,114,0.04755902310908718,1661
irr_1175,117,0.04604900448672233,1659
irr_1175,120,0.03659810843733852,1657
irr_1216,0,-0.02073488940047991,1694
irr_1216,3,-0.0224403506463782,1693
irr_1216,6,-0.01976010559265496,1692
