mask,wavelength,lag_hours,spearman_r,n
quiet_dst50,256,36,0.6529106048451198,1191
quiet_dst50,256,39,0.6484483621521573,1191
quiet_dst50,256,42,0.6455057986527682,1190
quiet_dst50,256,45,0.644028647975705,1190
quiet_dst50,256,48,0.6386275728087448,1190
quiet_dst50,256,51,0.6326094064745188,1190
quiet_dst50,256,54,0.6289056061758393,1190
quiet_dst50,256,57,0.624955910805766,1190
quiet_dst50,256,60,0.6174113307524594,1190
quiet_dst50,256,63,0.6096645972913721,1189
quiet_dst50,256,66,0.6066691102164408,1188
quiet_dst50,256,69,0.6032367281261848,1186
quiet_dst50,256,72,0.595000938428397,1184
quiet_dst50,256,75,0.5869879389672972,1182
quiet_dst50,256,78,0.5841615825563151,1180
quiet_dst50,256,81,0.5809635444805592,1178
quiet_dst50,256,84,0.5725584559462353,1176
quiet_dst50,256,87,0.562055921429792,1175
quiet_dst50,256,90,0.5567173844056453,1175
quiet_dst50,256,93,0.5524258559127011,1175
quiet_dst50,256,96,0.5408929024507698,1175
quiet_dst50,256,99,0.5286707878990518,1175
quiet_dst50,256,102,0.5239994570447701,1175
quiet_dst50,256,105,0.5172292417637613,1175
quiet_dst50,256,108,0.5027066170264547,1175
quiet_dst50,256,111,0.48813383591202947,1174
quiet_dst50,256,114,0.4817100138883678,1172
quiet_dst50,256,117,0.47622960552183236,1170
quiet_dst50,256,120,0.4630608186330843,1168
quiet_dst50,284,0,0.697619650106049,1198
quiet_dst50,284,3,0.6995188465138581,1196
quiet_dst50,284,6,0.7055987877985808,1195
quiet_dst50,284,9,0.7075104732048082,1194
quiet_dst50,284,12,0.7053041017008058,1193
quiet_dst50,284,15,0.7064624095762351,1192
quiet_dst50,284,18,0.7098981629875977,1192
quiet_dst50,284,21,0.7126115649716183,1192
quiet_dst50,284,24,0.7106989618706395,1192
quiet_dst50,284,27,0.709912345240025,1191
quiet_dst50,284,30,0.7123815793455144,1191
quiet_dst50,284,33,0.7122318252609989,1191
quiet_dst50,284,36,0.7101700802377314,1191
quiet_dst50,284,39,0.7087248961424206,1191
quiet_dst50,284,42,0.7081564177066597,1190
quiet_dst50,284,45,0.7084483144044533,1190
quiet_dst50,284,48,0.7043509153602653,1190
quiet_dst50,284,51,0.7005518005462051,1190
quiet_dst50,284,54,0.700001333406276,1190
quiet_dst50,284,57,0.6978529791224716,1190
quiet_dst50,284,60,0.6922602779854784,1190
quiet_dst50,284,63,0.6875045769766989,1189
quiet_dst50,284,66,0.6867697052818601,1188
quiet_dst50,284,69,0.6855586727871722,1186
quiet_dst50,284,72,0.6802308273583834,1184
quiet_dst50,284,75,0.675504408840806,1182
quiet_dst50,284,78,0.6745093120042629,1180
quiet_dst50,284,81,0.6723635209509686,1178
quiet_dst50,284,84,0.666084553744128,1176
quiet_dst50,284,87,0.6589752570715481,1175
quiet_dst50,284,90,0.6564509442908703,1175
quiet_dst50,284,93,0.6546292851114132,1175
quiet_dst50,284,96,0.6469706352946051,1175
quiet_dst50,284,99,0.6390349229691514,1175
quiet_dst50,284,102,0.637342241547023,1175
quiet_dst50,284,105,0.6335197257706229,1175
quiet_dst50,284,108,0.6223106295691644,1175
quiet_dst50,284,111,0.6122052721445841,1174
quiet_dst50,284,114,0.6101090653226179,1172
quiet_dst50,284,117,0.6074287962770606,1170
quiet_dst50,284,120,0.597173355611457,1168
quiet_dst50,304,0,0.7202844329094501,1198
quiet_dst50,304,3,0.7216263886371025,1196
quiet_dst50,304,6,0.7263156577165224,1195
quiet_dst50,304,9,0.7297852268000192,1194
quiet_dst50,304,12,0.7280896471420825,1193
quiet_dst50,304,15,0.728628215727499,1192
quiet_dst50,304,18,0.730880405904367,1192
quiet_dst50,304,21,0.7354046602748332,1192
quiet_dst50,304,24,0.7351104610603254,1192
quiet_dst50,304,27,0.7338720682599618,1191
quiet_dst50,304,30,0.7366900703445716,1191
quiet_dst50,304,33,0.7371554849857379,1191
quiet_dst50,304,36,0.7336215428811798,1191
quiet_dst50,304,39,0.7305839777122624,1191
quiet_dst50,304,42,0.7294012363150724,1190
quiet_dst50,304,45,0.729511020691884,1190
quiet_dst50,304,48,0.7262674075610758,1190
quiet_dst50,304,51,0.7211336687808484,1190
quiet_dst50,304,54,0.7180436555078482,1190
quiet_dst50,304,57,0.7150653065542865,1190
quiet_dst50,304,60,0.7087018503032663,1190
quiet_dst50,304,63,0.7023911004369124,1189
quiet_dst50,304,66,0.7000695025370813,1188
quiet_dst50,304,69,0.6975284129956181,1186
quiet_dst50,304,72,0.6911408238331316,1184
quiet_dst50,304,75,0.6857513619058594,1182
quiet_dst50,304,78,0.6826532955723862,1180
quiet_dst50,304,81,0.6790542697531942,1178
quiet_dst50,304,84,0.6722583855936125,1176
quiet_dst50,304,87,0.6650144504501573,1175
quiet_dst50,304,90,0.6619082139361961,1175
quiet_dst50,304,93,0.6585859418978727,1175
quiet_dst50,304,96,0.650075910171238,1175
quiet_dst50,304,99,0.641804919292738,1175
quiet_dst50,304,102,0.6391669927603505,1175
quiet_dst50,304,105,0.6334425284848073,1175
quiet_dst50,304,108,0.6205181006035384,1175
quiet_dst50,304,111,0.6083688641614551,1174
quiet_dst50,304,114,0.6048545010154169,1172
quiet_dst50,304,117,0.6020191484224989,1170
quiet_dst50,304,120,0.5907352410417696,1168
quiet_dst50,1175,0,0.8424187902047751,1198
quiet_dst50,1175,3,0.8454754383615101,1196
quiet_dst50,1175,6,0.8481268941086678,1195
quiet_dst50,1175,9,0.8485795935454875,1194
quiet_dst50,1175,12,0.8466676022031431,1193
quiet_dst50,1175,15,0.8476162140744911,1192
