datetime,h_gps_km,h_tle_km
2024-04-30 14:48:03+00:00,503.40928802084,503.52366396807975
2024-04-30 14:58:03+00:00,511.88980161662494,512.0466442787138
2024-04-30 15:08:04+00:00,515.8274202982357,515.9669644526048
2024-04-30 15:18:04+00:00,514.6507779031826,514.6560513137492
2024-04-30 15:28:04+00:00,510.84586538181975,510.705670182595
2024-04-30 15:38:04+00:00,506.0313335235387,505.75081670060354
2024-04-30 15:48:04+00:00,500.1712461578318,499.8345163008562
2024-04-30 15:58:04+00:00,494.847701039027,494.49549880278846
2024-04-30 16:08:04+00:00,493.80691236026905,493.6114522945136
2024-04-30 16:18:04+00:00,499.3788984250368,499.29953132346054
2024-04-30 16:28:04+00:00,508.2962444741752,508.35567602138144
2024-04-30 16:38:04+00:00,514.7121939153112,514.8360975327932
2024-04-30 16:48:05+00:00,515.6675226450488,515.7629528415227
2024-04-30 16:58:05+00:00,512.7599626892325,512.7125788166568
2024-04-30 17:08:05+00:00,508.33052868685627,508.1818181997687
2024-04-30 17:18:05+00:00,503.0470530711709,502.71017957087133
2024-04-30 17:28:05+00:00,497.1163424224733,496.7261515923774
2024-04-30 17:58:05+00:00,504.0956193468746,504.0462643765577
2024-04-30 18:08:05+00:00,512.310521214652,512.3995695717858
2024-04-30 18:18:06+00:00,515.8086727098362,515.9810026810837
2024-04-30 18:28:06+00:00,514.3441302008205,514.431593542773
2024-04-30 18:38:06+00:00,510.38541701024224,510.3997128369965
2024-04-30 18:48:06+00:00,505.55089799180496,505.4082469806326
2024-04-30 18:58:06+00:00,499.80153007310946,499.4865339824946
2024-04-30 19:18:06+00:00,493.95142813950315,493.78382889559634
2024-04-30 19:28:06+00:00,499.8345129676254,499.77983158455845
2024-04-30 19:38:06+00:00,508.75655805811584,508.82682304330774
2024-04-30 19:48:06+00:00,514.8555591943496,515.0113839886299
2024-04-30 19:58:07+00:00,515.51174292221,515.6279612217886
2024-04-30 20:08:07+00:00,512.4218715570032,512.4315412881697
2024-04-30 20:18:07+00:00,507.9274662146372,507.85705119103477
2024-04-30 20:28:07+00:00,502.5636263011602,502.3542252557663
2024-04-30 20:38:07+00:00,496.63804801895367,496.43602761287275
2024-04-30 20:58:07+00:00,496.2481083267903,496.2434825511573
2024-04-30 21:08:07+00:00,504.4328892924841,504.56767038423004
2024-04-30 21:18:07+00:00,512.4950689784473,512.7344491220738
2024-04-30 21:28:07+00:00,515.7568270488046,515.9755683715111
2024-04-30 21:38:08+00:00,514.169279729851,514.1981930203492
2024-04-30 21:48:08+00:00,510.1639391553663,510.09159735881894
2024-04-30 21:58:08+00:00,505.2561784557656,505.06495017045836
2024-04-30 22:08:08+00:00,499.3751094610825,499.14349414333265
2024-04-30 22:18:08+00:00,494.2671166590944,494.14263980606484
2024-04-30 22:28:08+00:00,493.9610151591005,493.9777420507171
2024-04-30 22:38:08+00:00,500.0556494151506,500.2688456505048
2024-04-30 22:48:08+00:00,508.9715432352832,509.2863445505918
2024-04-30 22:58:08+00:00,514.8316610274751,515.1660477666528
2024-04-30 23:08:08+00:00,515.377775731803,515.4823327067152
2024-04-30 23:18:09+00:00,512.2103287740592,512.1461246940044
2024-04-30 23:28:09+00:00,507.7443821746092,507.53105957461594
2024-04-30 23:38:09+00:00,502.2913754960482,501.9994861205287
2024-04-30 23:48:09+00:00,496.37797987920567,496.1569502274524
2024-04-30 23:58:09+00:00,493.2506819119608,493.2464075286716
