wavelength,window,geomag,period,lag_hours,spearman_r,n
304,-1,quiet_kp4,full,99,0.22705184823839336,829
304,-1,quiet_kp4,full,102,0.1908983969149963,828
304,-1,quiet_kp4,full,105,0.16638005850464158,827
304,-1,quiet_kp4,full,108,0.19847213175327774,827
304,-1,quiet_kp4,full,111,0.22830452167072976,827
304,-1,quiet_kp4,full,114,0.18555615679383433,826
304,-1,quiet_kp4,full,117,0.15946968450341828,825
304,-1,quiet_kp4,full,120,0.2024365897052846,824
1175,-1,quiet_kp4,full,0,0.3048702898059632,854
1175,-1,quiet_kp4,full,3,0.329767635727898,855
1175,-1,quiet_kp4,full,6,0.29612892524225426,856
1175,-1,quiet_kp4,full,9,0.2832997470939916,856
1175,-1,quiet_kp4,full,12,0.31653918715664214,857
1175,-1,quiet_kp4,full,15,0.3470919032649247,858
1175,-1,quiet_kp4,full,18,0.31920044922454427,859
1175,-1,quiet_kp4,full,21,0.28685950718046244,860
1175,-1,quiet_kp4,full,24,0.31440587367944234,860
1175,-1,quiet_kp4,full,27,0.3291608774673215,860
1175,-1,quiet_kp4,full,30,0.3047104689697186,860
1175,-1,quiet_kp4,full,33,0.29241575761867067,859
1175,-1,quiet_kp4,full,36,0.31693069381325917,858
1175,-1,quiet_kp4,full,39,0.3337111911523847,857
1175,-1,quiet_kp4,full,42,0.293685978323818,856
1175,-1,quiet_kp4,full,45,0.2799901584952906,856
1175,-1,quiet_kp4,full,48,0.31433743697377353,855
1175,-1,quiet_kp4,full,51,0.3192562248547974,854
1175,-1,quiet_kp4,full,54,0.2800142689474055,854
1175,-1,quiet_kp4,full,57,0.2715123961962254,854
1175,-1,quiet_kp4,full,60,0.3048525233618766,853
1175,-1,quiet_kp4,full,63,0.31788174543911013,851
1175,-1,quiet_kp4,full,66,0.28391192746183075,849
1175,-1,quiet_kp4,full,69,0.26571067181095454,846
1175,-1,quiet_kp4,full,72,0.2911324158221031,843
1175,-1,quiet_kp4,full,75,0.3027043891583098,840
1175,-1,quiet_kp4,full,78,0.2642572177684884,837
1175,-1,quiet_kp4,full,81,0.2566783131956458,835
1175,-1,quiet_kp4,full,84,0.308173991618308,832
1175,-1,quiet_kp4,full,87,0.31067522671980685,830
1175,-1,quiet_kp4,full,90,0.2600613815202068,829
1175,-1,quiet_kp4,full,93,0.2463926238003255,828
1175,-1,quiet_kp4,full,96,0.2922782719127423,828
1175,-1,quiet_kp4,full,99,0.2947340207844542,829
1175,-1,quiet_kp4,full,102,0.24549769098455018,828
1175,-1,quiet_kp4,full,105,0.2227605451499827,827
1175,-1,quiet_kp4,full,108,0.2754386755490798,827
1175,-1,quiet_kp4,full,111,0.3012388626665086,827
1175,-1,quiet_kp4,full,114,0.24534369817258755,826
1175,-1,quiet_kp4,full,117,0.21740841025027305,825
1175,-1,quiet_kp4,full,120,0.26456669944737515,824
1216,-1,quiet_kp4,full,0,0.2889844390731985,854
1216,-1,quiet_kp4,full,3,0.27687796171906714,855
1216,-1,quiet_kp4,full,6,0.23307692616747816,856
1216,-1,quiet_kp4,full,9,0.2533572942596516,856
1216,-1,quiet_kp4,full,12,0.30762338731073396,857
1216,-1,quiet_kp4,full,15,0.2995274714404852,858
1216,-1,quiet_kp4,full,18,0.24988463630475705,859
1216,-1,quiet_kp4,full,21,0.2550909595668074,860
1216,-1,quiet_kp4,full,24,0.29512841292344566,860
1216,-1,quiet_kp4,full,27,0.2765006505568055,860
1216,-1,quiet_kp4,full,30,0.23477568312709496,860
1216,-1,quiet_kp4,full,33,0.2547284158568237,859
1216,-1,quiet_kp4,full,36,0.3042021354555399,858
1216,-1,quiet_kp4,full,39,0.29219166584623135,857
1216,-1,quiet_kp4,full,42,0.23435127092969887,856
1216,-1,quiet_kp4,full,45,0.24114644346501324,856
1216,-1,quiet_kp4,full,48,0.2839819788478397,855
1216,-1,quiet_kp4,full,51,0.26469493742813205,854
1216,-1,quiet_kp4,full,54,0.21814610903134682,854
1216,-1,quiet_kp4,full,57,0.2397994004864948,854
1216,-1,quiet_kp4,full,60,0.28711575276810286,853
1216,-1,quiet_kp4,full,63,0.26801147244286905,851
1216,-1,quiet_kp4,full,66,0.2171166705231329,849
1216,-1,quiet_kp4,full,69,0.22599221935630212,846
1216,-1,quiet_kp4,full,72,0.2668602473624293,843
1216,-1,quiet_kp4,full,75,0.24830544179990532,840
1216,-1,quiet_kp4,full,78,0.19387350986761012,837
1216,-1,quiet_kp4,full,81,0.22039646568279572,835
1216,-1,quiet_kp4,full,84,0.2845050544516613,832
1216,-1,quiet_kp4,full,87,0.25546963124344196,830
1216,-1,quiet_kp4,full,90,0.1928811169574717,829
1216,-1,quiet_kp4,full,93,0.20830528939222717,828
1216,-1,quiet_kp4,full,96,0.2591122329885448,828
1216,-1,quiet_kp4,full,99,0.2322319329239126,829
1216,-1,quiet_kp4,full,102,0.17364656129860656,828
1216,-1,quiet_kp4,full,105,0.19417580984680327,827
1216,-1,quiet_kp4,full,108,0.25657468600504796,827
1216,-1,quiet_kp4,full,111,0.2414244033154978,827
1216,-1,quiet_kp4,full,114,0.17602398257574206,826
1216,-1,quiet_kp4,full,117,0.18521448766800094,825
1216,-1,quiet_kp4,full,120,0.24363226694149553,824
1335,-1,quiet_kp4,full,0,0.25687373932303514,854
1335,-1,quiet_kp4,full,3,0.2857044557156643,855
1335,-1,quiet_kp4,full,6,0.2615061711247114,856
1335,-1,quiet_kp4,full,9,0.23655824366639674,856
1335,-1,quiet_kp4,full,12,0.2588279287425407,857
1335,-1,quiet_kp4,full,15,0.2978903682103924,858
