condition,geomag,wavelength,lag_hours,spearman_r,n
asymmetric,all,1335,75,0.6800644293215371,1643
asymmetric,all,1335,78,0.6764942688328032,1641
asymmetric,all,1335,81,0.6729415561794021,1639
asymmetric,all,1335,84,0.6679269048659355,1637
asymmetric,all,1335,87,0.6615548942733561,1636
asymmetric,all,1335,90,0.6594177617736212,1636
asymmetric,all,1335,93,0.6574954359876499,1636
asymmetric,all,1335,96,0.6523756192817788,1636
asymmetric,all,1335,99,0.6453324819845331,1636
asymmetric,all,1335,102,0.6419281455346042,1636
asymmetric,all,1335,105,0.6378011720260116,1636
asymmetric,all,1335,108,0.630601129526171,1636
asymmetric,all,1335,111,0.6219326135747794,1635
asymmetric,all,1335,114,0.6178563608845692,1633
asymmetric,all,1335,117,0.6152446918365546,1631
asymmetric,all,1335,120,0.6080009187421993,1629
asymmetric,all,1405,0,0.7968057441271728,1665
asymmetric,all,1405,3,0.8001716822748093,1664
asymmetric,all,1405,6,0.8041773641458585,1663
asymmetric,all,1405,9,0.8070122500548138,1662
asymmetric,all,1405,12,0.8076662906939135,1661
asymmetric,all,1405,15,0.8076090582312637,1660
asymmetric,all,1405,18,0.8087788704579792,1659
asymmetric,all,1405,21,0.8114185781964574,1658
asymmetric,all,1405,24,0.8125308121346216,1657
asymmetric,all,1405,27,0.8145357165874433,1656
asymmetric,all,1405,30,0.8172251049391372,1655
asymmetric,all,1405,33,0.8174022998627578,1654
asymmetric,all,1405,36,0.8148821734795676,1653
asymmetric,all,1405,39,0.8121769717630634,1652
asymmetric,all,1405,42,0.810618968646461,1651
asymmetric,all,1405,45,0.8102325300483582,1651
asymmetric,all,1405,48,0.8089870545842787,1651
asymmetric,all,1405,51,0.8078273388162619,1651
asymmetric,all,1405,54,0.8064293053803264,1651
asymmetric,all,1405,57,0.8018387324673192,1651
asymmetric,all,1405,60,0.7956956242742977,1651
asymmetric,all,1405,63,0.7910738653247357,1650
asymmetric,all,1405,66,0.7863848238816004,1649
asymmetric,all,1405,69,0.7827922598650773,1647
asymmetric,all,1405,72,0.7790054605356145,1645
asymmetric,all,1405,75,0.7750803679557702,1643
asymmetric,all,1405,78,0.7715679052247305,1641
asymmetric,all,1405,81,0.7666878355452591,1639
asymmetric,all,1405,84,0.7591874532152308,1637
asymmetric,all,1405,87,0.7525918469503671,1636
asymmetric,all,1405,90,0.7494178805747623,1636
asymmetric,all,1405,93,0.7461208488233281,1636
asymmetric,all,1405,96,0.7414239422556845,1636
asymmetric,all,1405,99,0.7357639873236578,1636
asymmetric,all,1405,102,0.7327522756276361,1636
asymmetric,all,1405,105,0.7276982092557269,1636
asymmetric,all,1405,108,0.7196261225320449,1636
asymmetric,all,1405,111,0.711231909175704,1635
asymmetric,all,1405,114,0.7067278859809538,1633
asymmetric,all,1405,117,0.7027762910108882,1631
asymmetric,all,1405,120,0.6955225752941239,1629
asymmetric,quiet_kp4,256,0,0.5257693558363072,854
asymmetric,quiet_kp4,256,3,0.5277821104008682,855
asymmetric,quiet_kp4,256,6,0.5354907541703472,856
asymmetric,quiet_kp4,256,9,0.53544298154737,856
asymmetric,quiet_kp4,256,12,0.5336445662103521,857
asymmetric,quiet_kp4,256,15,0.5375988912610556,858
asymmetric,quiet_kp4,256,18,0.543763876159577,859
asymmetric,quiet_kp4,256,21,0.5492482868702233,860
asymmetric,quiet_kp4,256,24,0.5485751565501067,860
asymmetric,quiet_kp4,256,27,0.5492766617686637,860
asymmetric,quiet_kp4,256,30,0.5527076284612684,860
asymmetric,quiet_kp4,256,33,0.552304500329516,859
asymmetric,quiet_kp4,256,36,0.5474808240486493,858
asymmetric,quiet_kp4,256,39,0.5419148785434131,857
asymmetric,quiet_kp4,256,42,0.5386728279383942,856
asymmetric,quiet_kp4,256,45,0.539160273228027,856
asymmetric,quiet_kp4,256,48,0.5343750827966193,855
asymmetric,quiet_kp4,256,51,0.527420322759313,854
asymmetric,quiet_kp4,256,54,0.5239566253669652,854
asymmetric,quiet_kp4,256,57,0.5210791763295387,854
asymmetric,quiet_kp4,256,60,0.5117648021003232,853
asymmetric,quiet_kp4,256,63,0.5042877573730209,851
asymmetric,quiet_kp4,256,66,0.5033529686292811,849
asymmetric,quiet_kp4,256,69,0.500243940952169,846
asymmetric,quiet_kp4,256,72,0.49042357652146945,843
asymmetric,quiet_kp4,256,75,0.4817939894229684,840
asymmetric,quiet_kp4,256,78,0.48218887130152116,837
asymmetric,quiet_kp4,256,81,0.48256866872774024,835
asymmetric,quiet_kp4,256,84,0.47500508812244696,832
asymmetric,quiet_kp4,256,87,0.4650424231142212,830
asymmetric,quiet_kp4,256,90,0.4622626447469218,829
asymmetric,quiet_kp4,256,93,0.461532802706982,828
asymmetric,quiet_kp4,256,96,0.45261934796338676,828
asymmetric,quiet_kp4,256,99,0.43905319710688345,829
asymmetric,quiet_kp4,256,102,0.43815716178679365,828
asymmetric,quiet_kp4,256,105,0.43273714422685355,827
asymmetric,quiet_kp4,256,108,0.41763360058393467,827
asymmetric,quiet_kp4,256,111,0.4040251760309609,827
asymmetric,quiet_kp4,256,114,0.4024039961022725,826
asymmetric,quiet_kp4,256,117,0.4012300797770602,825
asymmetric,quiet_kp4,256,120,0.38953599032236264,824
asymmetric,quiet_kp4,284,0,0.5910102934001735,854
asymmetric,quiet_kp4,284,3,0.591345857365952,855
asymmetric,quiet_kp4,284,6,0.5981615097296782,856
asymmetric,quiet_kp4,284,9,0.5982693185925042,856
asymmetric,quiet_kp4,284,12,0.5951013375549085,857
asymmetric,quiet_kp4,284,15,0.5970238196620125,858
asymmetric,quiet_kp4,284,18,0.6025336658089725,859
asymmetric,quiet_kp4,284,21,0.6068170127514418,860
asymmetric,quiet_kp4,284,24,0.604624278329077,860
asymmetric,quiet_kp4,284,27,0.603980673751021,860
asymmetric,quiet_kp4,284,30,0.6081012410339142,860
asymmetric,quiet_kp4,284,33,0.6079318764458326,859
asymmetric,quiet_kp4,284,36,0.6059085576678827,858
asymmetric,quiet_kp4,284,39,0.6045972887732342,857
asymmetric,quiet_kp4,284,42,0.6051347438597257,856
asymmetric,quiet_kp4,284,45,0.6081123729945591,856
asymmetric,quiet_kp4,284,48,0.6054812225907192,855
asymmetric,quiet_kp4,284,51,0.6014730000486004,854
asymmetric,quiet_kp4,284,54,0.6020518307087458,854
asymmetric,quiet_kp4,284,57,0.6033992308813855,854
asymmetric,quiet_kp4,284,60,0.5986240313906964,853
asymmetric,quiet_kp4,284,63,0.5949108461510754,851
asymmetric,quiet_kp4,284,66,0.5970105850193934,849
asymmetric,quiet_kp4,284,69,0.5979493402495932,846
asymmetric,quiet_kp4,284,72,0.5926534856002909,843
asymmetric,quiet_kp4,284,75,0.5883290245997675,840
asymmetric,quiet_kp4,284,78,0.5903062211598584,837
asymmetric,quiet_kp4,284,81,0.5924929872450206,835
asymmetric,quiet_kp4,284,84,0.5878598315193891,832
asymmetric,quiet_kp4,284,87,0.5810724907879462,830
asymmetric,quiet_kp4,284,90,0.5808078382655287,829
asymmetric,quiet_kp4,284,93,0.5829417328448714,828
asymmetric,quiet_kp4,284,96,0.5775220357784141,828
asymmetric,quiet_kp4,284,99,0.5684175839035589,829
asymmetric,quiet_kp4,284,102,0.570043454183192,828
asymmetric,quiet_kp4,284,105,0.5673749191613924,827
asymmetric,quiet_kp4,284,108,0.556848216569096,827
asymmetric,quiet_kp4,284,111,0.5485445783363606,827
asymmetric,quiet_kp4,284,114,0.5506746789578343,826
asymmetric,quiet_kp4,284,117,0.5510599043872041,825
asymmetric,quiet_kp4,284,120,0.5393519715075943,824
asymmetric,quiet_kp4,304,0,0.6419765613368458,854
asymmetric,quiet_kp4,304,3,0.6432789112354965,855
asymmetric,quiet_kp4,304,6,0.6500387136173785,856
asymmetric,quiet_kp4,304,9,0.6507826808649122,856
asymmetric,quiet_kp4,304,12,0.6492624241809076,857
asymmetric,quiet_kp4,304,15,0.6514507100885389,858
asymmetric,quiet_kp4,304,18,0.6547397184129999,859
asymmetric,quiet_kp4,304,21,0.6631000576459456,860
asymmetric,quiet_kp4,304,24,0.6645543843887498,860
asymmetric,quiet_kp4,304,27,0.664492106769234,860
asymmetric,quiet_kp4,304,30,0.6676469464581327,860
asymmetric,quiet_kp4,304,33,0.6692392508809653,859
asymmetric,quiet_kp4,304,36,0.6656827550230233,858
asymmetric,quiet_kp4,304,39,0.6624540330605828,857
asymmetric,quiet_kp4,304,42,0.662436771106383,856
asymmetric,quiet_kp4,304,45,0.6638572461426525,856
asymmetric,quiet_kp4,304,48,0.6599524320222957,855
asymmetric,quiet_kp4,304,51,0.653786687424652,854
asymmetric,quiet_kp4,304,54,0.6498266402847199,854
asymmetric,quiet_kp4,304,57,0.6454993112863068,854
asymmetric,quiet_kp4,304,60,0.6374490480638718,853
asymmetric,quiet_kp4,304,63,0.6319452625061213,851
asymmetric,quiet_kp4,304,66,0.6324398097128043,849
asymmetric,quiet_kp4,304,69,0.6295062969069813,846
asymmetric,quiet_kp4,304,72,0.6222617893604279,843
asymmetric,quiet_kp4,304,75,0.6160280029551386,840
asymmetric,quiet_kp4,304,78,0.6148306122028826,837
asymmetric,quiet_kp4,304,81,0.6116361336052208,835
asymmetric,quiet_kp4,304,84,0.6046867233424889,832
asymmetric,quiet_kp4,304,87,0.5963501110913544,830
asymmetric,quiet_kp4,304,90,0.5941604146696399,829
asymmetric,quiet_kp4,304,93,0.593839767432043,828
asymmetric,quiet_kp4,304,96,0.5876997271358617,828
asymmetric,quiet_kp4,304,99,0.5771268848404579,829
asymmetric,quiet_kp4,304,102,0.5742116827808479,828
asymmetric,quiet_kp4,304,105,0.5677161163234093,827
asymmetric,quiet_kp4,304,108,0.5534352477926886,827
asymmetric,quiet_kp4,304,111,0.5424236726757847,827
asymmetric,quiet_kp4,304,114,0.5439343891408738,826
asymmetric,quiet_kp4,304,117,0.5434469973008728,825
asymmetric,quiet_kp4,304,120,0.5335223103643162,824
asymmetric,quiet_kp4,1175,0,0.8092528806304579,854
asymmetric,quiet_kp4,1175,3,0.8097442933210153,855
asymmetric,quiet_kp4,1175,6,0.8133395818470156,856
asymmetric,quiet_kp4,1175,9,0.8102758395459746,856
asymmetric,quiet_kp4,1175,12,0.8060495432113444,857
asymmetric,quiet_kp4,1175,15,0.8079592607706625,858
asymmetric,quiet_kp4,1175,18,0.8142324362158134,859
asymmetric,quiet_kp4,1175,21,0.8248906156154953,860
asymmetric,quiet_kp4,1175,24,0.829950969345205,860
asymmetric,quiet_kp4,1175,27,0.8344489378703867,860
asymmetric,quiet_kp4,1175,30,0.8393559275379805,860
asymmetric,quiet_kp4,1175,33,0.840954215938649,859
asymmetric,quiet_kp4,1175,36,0.8355520781070557,858
asymmetric,quiet_kp4,1175,39,0.8314557311520202,857
asymmetric,quiet_kp4,1175,42,0.8330379925320122,856
asymmetric,quiet_kp4,1175,45,0.8333011915605655,856
asymmetric,quiet_kp4,1175,48,0.8301230132171243,855
asymmetric,quiet_kp4,1175,51,0.8271068480880676,854
asymmetric,quiet_kp4,1175,54,0.8227731417988209,854
asymmetric,quiet_kp4,1175,57,0.8164962692126121,854
asymmetric,quiet_kp4,1175,60,0.8065161286555453,853
asymmetric,quiet_kp4,1175,63,0.8038362976643298,851
asymmetric,quiet_kp4,1175,66,0.8080904413235391,849
asymmetric,quiet_kp4,1175,69,0.8042060107228982,846
asymmetric,quiet_kp4,1175,72,0.79652561898196,843
asymmetric,quiet_kp4,1175,75,0.791273452970961,840
asymmetric,quiet_kp4,1175,78,0.7900138501031564,837
asymmetric,quiet_kp4,1175,81,0.7839380754514516,835
asymmetric,quiet_kp4,1175,84,0.7738628567228059,832
asymmetric,quiet_kp4,1175,87,0.7656292946015116,830
asymmetric,quiet_kp4,1175,90,0.7652123993956631,829
asymmetric,quiet_kp4,1175,93,0.7667661546154296,828
asymmetric,quiet_kp4,1175,96,0.7632105855870853,828
asymmetric,quiet_kp4,1175,99,0.7540893947637194,829
asymmetric,quiet_kp4,1175,102,0.7474902931974091,828
asymmetric,quiet_kp4,1175,105,0.7334629381849269,827
asymmetric,quiet_kp4,1175,108,0.7126439707966459,827
asymmetric,quiet_kp4,1175,111,0.70045986724074,827
asymmetric,quiet_kp4,1175,114,0.7053631229303968,826
asymmetric,quiet_kp4,1175,117,0.7014853535472263,825
asymmetric,quiet_kp4,1175,120,0.686033251864157,824
asymmetric,quiet_kp4,1216,0,0.6998388770727579,854
asymmetric,quiet_kp4,1216,3,0.7098109529991672,855
asymmetric,quiet_kp4,1216,6,0.7189178056429092,856
asymmetric,quiet_kp4,1216,9,0.709864673570643,856
asymmetric,quiet_kp4,1216,12,0.6993770741412484,857
asymmetric,quiet_kp4,1216,15,0.70675953122232,858
asymmetric,quiet_kp4,1216,18,0.7167483814341978,859
asymmetric,quiet_kp4,1216,21,0.7185111970009394,860
asymmetric,quiet_kp4,1216,24,0.7154572919574237,860
asymmetric,quiet_kp4,1216,27,0.722469287804199,860
asymmetric,quiet_kp4,1216,30,0.7270984902346674,860
asymmetric,quiet_kp4,1216,33,0.7155049298645152,859
asymmetric,quiet_kp4,1216,36,0.7034021492028754,858
asymmetric,quiet_kp4,1216,39,0.7065917321318144,857
asymmetric,quiet_kp4,1216,42,0.7107216344550621,856
asymmetric,quiet_kp4,1216,45,0.7057154385544009,856
asymmetric,quiet_kp4,1216,48,0.6991746257016834,855
asymmetric,quiet_kp4,1216,51,0.701661067511282,854
asymmetric,quiet_kp4,1216,54,0.7008371253889534,854
asymmetric,quiet_kp4,1216,57,0.6854576431084053,854
asymmetric,quiet_kp4,1216,60,0.6702272907523745,853
asymmetric,quiet_kp4,1216,63,0.6713231375534607,851
asymmetric,quiet_kp4,1216,66,0.6775830545565782,849
asymmetric,quiet_kp4,1216,69,0.6720556436074961,846
asymmetric,quiet_kp4,1216,72,0.6646013937217183,843
asymmetric,quiet_kp4,1216,75,0.6667348289487777,840
asymmetric,quiet_kp4,1216,78,0.6664849196201635,837
asymmetric,quiet_kp4,1216,81,0.6526924877311572,835
asymmetric,quiet_kp4,1216,84,0.6375193231972044,832
asymmetric,quiet_kp4,1216,87,0.6360626980537147,830
asymmetric,quiet_kp4,1216,90,0.6394965923377782,829
asymmetric,quiet_kp4,1216,93,0.6336304865422167,828
asymmetric,quiet_kp4,1216,96,0.6248357290411057,828
asymmetric,quiet_kp4,1216,99,0.6243830727535937,829
asymmetric,quiet_kp4,1216,102,0.624070020845688,828
asymmetric,quiet_kp4,1216,105,0.6054391732785551,827
asymmetric,quiet_kp4,1216,108,0.583673077193174,827
asymmetric,quiet_kp4,1216,111,0.5810194322837352,827
asymmetric,quiet_kp4,1216,114,0.5885027152872949,826
asymmetric,quiet_kp4,1216,117,0.5826106097292539,825
asymmetric,quiet_kp4,1216,120,0.5730327231545836,824
asymmetric,quiet_kp4,1335,0,0.6848620311180003,854
asymmetric,quiet_kp4,1335,3,0.6875892427560398,855
asymmetric,quiet_kp4,1335,6,0.6935981624089341,856
asymmetric,quiet_kp4,1335,9,0.6942573748627997,856
asymmetric,quiet_kp4,1335,12,0.6951215122569228,857
asymmetric,quiet_kp4,1335,15,0.6975574987863028,858
asymmetric,quiet_kp4,1335,18,0.7008868246841011,859
asymmetric,quiet_kp4,1335,21,0.7094600383230926,860
asymmetric,quiet_kp4,1335,24,0.7119561615365612,860
asymmetric,quiet_kp4,1335,27,0.7116620926921525,860
